,f1-baseline,f1-one vs one,f1-baseline 2 Gram,f1-kNN,f1-Random Forest,f1-Naiv Bayes,f1-baseline stemming,f1-baseline stemming optimized,f1-dummy clf
Etat,0.8503937007874016,0.848,0.8067226890756303,0.7538461538461538,0.5684210526315789,0.029411764705882363,0.8527131782945736,0.8593750000000001,0.031746031746031744
Inland,0.8358208955223881,0.8275862068965516,0.8316831683168315,0.7705627705627706,0.7804878048780487,0.7176470588235294,0.8484848484848485,0.8695652173913043,0.04020100502512563
International,0.8551724137931034,0.8491228070175441,0.8235294117647058,0.8131147540983606,0.7882736156351792,0.8304498269896193,0.8513513513513514,0.8513513513513514,0.19018404907975459
Kultur,0.8545454545454546,0.8113207547169811,0.8909090909090909,0.7422680412371134,0.8041237113402061,0.0,0.8598130841121496,0.8785046728971964,0.05555555555555555
Panorama,0.8294117647058823,0.8022284122562674,0.8045977011494253,0.7380281690140845,0.7170868347338936,0.6317907444668008,0.8381502890173411,0.8263473053892216,0.19701492537313434
Sport,0.9916666666666668,0.9789029535864978,0.9916666666666668,0.9623430962343096,0.9704641350210972,0.9487179487179488,0.9874476987447698,0.9916666666666668,0.1507936507936508
Web,0.9080118694362018,0.9009009009009008,0.9080118694362018,0.8359133126934984,0.85,0.7562189054726368,0.9253731343283582,0.923076923076923,0.12779552715654952
Wirtschaft,0.8493150684931506,0.8135593220338982,0.8231292517006802,0.7472527472527473,0.7197231833910034,0.7859649122807016,0.8512110726643598,0.8442906574394465,0.1413427561837456
Wissenschaft,0.9243697478991596,0.9026548672566372,0.905982905982906,0.7961165048543689,0.8440366972477065,0.0,0.905982905982906,0.9059829059829059,0.05263157894736842
accuracy,0.8764591439688716,0.857976653696498,0.8618677042801557,0.7996108949416343,0.7908560311284046,0.6945525291828794,0.8803501945525292,0.8813229571984436,0.13132295719844359
macro avg,0.8776341757610454,0.8593640249628087,0.8651369727780155,0.7954939499770453,0.7825130038754127,0.5222445734952355,0.880058618108962,0.8833511889105574,0.10969611998454624
weighted avg,0.8762998727119738,0.8589649110885277,0.8616389040964517,0.8002067272520224,0.7874156692959499,0.6404876846092266,0.8804364240714507,0.8811832317964159,0.12990077898124808
